PartcipantID:123
InitialTimeStamp:16-30-41-945
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;41
1;1;11;78
1;1;21;7041
1;1;3;7070
1;2;1;11163
1;2;11;11202
1;2;21;24693
1;2;3;24722
1;3;1;28886
1;3;11;28926
1;3;21;30165
1;3;3;30193
1;4;1;34283
1;4;11;34323
1;4;21;34936
1;4;3;34965
1;5;1;39066
1;5;11;39106
1;5;21;41594
1;5;3;41622
1;6;1;45758
1;6;11;45799
1;6;21;47351
1;6;3;47379
1;7;1;51482
1;7;11;51521
1;7;21;52997
1;7;3;53027
1;8;1;57157
1;8;11;57196
1;8;21;59255
1;8;3;59284
1;9;1;63400
1;9;11;63437
1;9;21;70564
1;9;3;70594
1;10;1;74687
1;10;11;74726
1;10;21;77684
1;10;3;77712
1;11;1;81854
1;11;11;81892
1;11;21;83502
1;11;3;83532
1;12;1;87619
1;12;11;87658
1;12;21;88413
1;12;3;88441
2;0;4;92529
2;1;1;97641
2;1;11;97681
