PartcipantID:234
InitialTimeStamp:14-29-42-647
block;trial;item;In(1)/Out(0);time
1;1;1;1;1.715145
1;1;6;1;3.009682
1;1;2;1;4.155182
1;1;3;1;5.183136
1;1;4;1;6.064503
1;1;5;1;7.794956
1;1;5;0;8.794365
1;1;1;0;9.449253
1;1;6;0;10.14437
1;1;2;0;10.8243
1;1;6;1;12.1097
1;1;1;1;12.69054
1;1;5;1;13.45464
1;1;6;0;15.16131
1;1;6;1;15.95621
1;1;6;0;18.14311
1;1;6;1;18.85574
1;1;6;0;19.43631
1;1;6;1;19.9363
1;1;6;0;20.46599
1;1;6;1;20.84783
1;1;6;0;21.26143
1;1;6;1;21.67521
1;1;6;0;22.27254
1;1;6;1;22.76978
1;1;6;0;23.24953
1;1;1;0;24.02866
1;1;1;1;24.59406
1;1;1;0;25.63728
1;1;1;1;26.10162
1;1;1;0;26.87982
1;1;1;1;27.34394
1;1;1;0;27.85718
1;1;1;1;28.57018
1;1;1;0;29.06715
1;1;5;0;30.49596
1;1;5;1;31.58925
1;1;5;0;32.28472
1;1;5;1;32.73204
1;1;5;0;34.33883
1;1;5;1;34.85275
1;1;3;0;35.61458
1;1;3;1;36.08613
1;1;3;0;36.51648
1;1;3;1;37.01429
1;1;3;0;37.56203
1;1;2;1;38.80643
1;1;2;0;39.35916
1;1;2;1;39.79548
