PartcipantID:dd
InitialTimeStamp:14-37-07-410
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;204
1;1;11;252
1;2;1;16721
1;2;11;16773
1;3;1;20126
1;3;11;20165
1;4;1;22752
1;4;11;22794
1;5;1;28586
1;5;11;28633
1;6;1;31744
1;6;11;31785
1;7;1;39094
1;7;11;39137
1;8;1;43752
1;8;11;43801
1;9;1;45127
1;9;11;45166
1;10;1;50652
1;10;11;50742
1;11;1;52634
1;11;11;52675
1;12;1;56200
1;12;11;56243
2;0;4;57346
2;1;1;62511
2;1;11;62557
2;2;1;63956
2;2;11;63994
2;3;1;64633
2;3;11;64676
2;4;1;65249
2;4;11;65289
2;5;1;65943
2;5;11;65988
2;6;1;66531
2;6;11;66572
2;7;1;67133
2;7;11;67173
2;8;1;67843
2;8;11;67946
2;9;1;68526
2;9;11;68566
2;10;1;73490
2;10;11;73538
2;11;1;74303
2;11;11;74343
2;12;1;75139
2;12;11;75177
3;0;4;76014
3;1;1;77165
3;1;11;77276
3;2;1;78008
3;2;11;78046
3;3;1;79460
3;3;11;79511
3;4;1;83777
3;4;11;83816
3;4;3;150939
3;5;1;155100
3;5;11;155139
3;6;1;186123
3;6;11;186162
3;6;3;236242
3;7;1;240388
3;7;11;240427
