PartcipantID:dd
block;trial;submitted;timeSpent;instanceNumber;capacity;itemsSelected;capacitySel;profitSel;itemsOpt;capacityOpt;profitOpt;correct;xyCoordinates;error
1;1;2;50;20;84;0,0,0,0,0,0,0;0;0;1,1,1,0,0,1,0;76;99;False;(7,2.5)(3.5,1)(1,4)(6.5,5)(2,2)(2.5,5)(5.5,1.5);Pause
1;2;2;50;17;55;0,0,0,0,0,0,0;0;0;1,1,0,0,1,1,0;40;103;False;(7,3.5)(7,5)(1.5,1.5)(6.5,2)(1.5,5)(4.5,1)(5.5,5);Pause
1;3;2;50;2;79;0,0,0,0,0,0,0;0;0;0,1,0,1,1,1,0;79;112;False;(1.5,3.5)(5,1)(7,3.5)(6.5,1.5)(1.5,5)(1.5,1.5)(5.5,5);Pause
1;4;2;50;15;76;0,0,0,0,0,0,0;0;0;1,0,1,1,0,1,0;66;120;False;(7,3.5)(1,3.5)(5,5)(6,1.5)(3,1)(7,5)(1,1.5);Pause
1;5;2;50;23;81;0,0,0,0,0,0,0;0;0;0,1,0,0,1,1,1;78;141;False;(7,4)(2,3.5)(1,1.5)(7,2)(3.5,1)(5.5,1)(5.5,5);Pause
1;6;2;50;8;75;0,0,0,0,0,0,0;0;0;1,0,1,0,1,1,0;73;94;False;(6,1)(7,5)(1.5,4)(5.5,5.5)(7,3)(3,5)(1,2);Pause
1;7;2;50;28;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(6,2.5)(1.5,3)(5.5,5)(3,5)(4.5,1)(7,4.5)(1.5,5);Pause
1;8;2;50;26;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(1.5,2.5)(2,5)(7,5)(7,3)(5,5)(5.5,1.5)(7,1.5);Pause
1;9;2;50;1;77;0,0,0,0,0,0,0;0;0;1,0,0,0,1,1,1;72;112;False;(6.5,5)(1,3)(7,2.5)(3,1)(2,5)(5,1)(1,1);Pause
1;10;2;50;27;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(1,4)(1.5,2)(7,5)(4,1)(7,1)(6,3)(2.5,5);Pause
1;11;2;50;35;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(7,3)(1.5,3)(6.5,5)(2.5,5)(3.5,1)(1,5)(5.5,1.5);Pause
1;12;2;50;7;79;0,0,0,0,0,0,0;0;0;0,1,0,1,1,1,0;79;112;False;(1,4.5)(7,2.5)(7,4.5)(3.5,1)(2,2)(2.5,5)(5.5,1.5);Pause
2;1;2;50;3;63;0,0,0,0,0,0,0;0;0;0,0,1,1,1,1,0;61;73;False;(5,5)(3.5,5.5)(6.5,3)(6.5,1.5)(1.5,3)(7,5)(1,5);Pause
2;2;2;50;19;81;0,0,0,0,0,0,0;0;0;0,1,0,0,1,1,1;78;141;False;(3.5,1)(7,5)(6,3)(1,3.5)(6,1)(1,1)(5.5,5);Pause
2;3;2;50;4;74;0,0,0,0,0,0,0;0;0;1,0,0,0,1,1,1;72;112;False;(7,3.5)(6.5,1)(1.5,2)(4,1)(3,5)(1,5)(5.5,5);Pause
2;4;2;50;16;68;0,0,0,0,0,0,0;0;0;0,1,1,1,0,0,1;61;112;False;(1,3)(6,1.5)(3.5,5)(5.5,5)(7,4)(4,1)(1.5,5);Pause
2;5;2;50;12;74;0,0,0,0,0,0,0;0;0;1,0,1,0,0,1,1;74;117;False;(1,4)(2.5,1)(6.5,2.5)(6,4.5)(1,2)(2.5,5)(5,1);Pause
2;6;2;50;33;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(7,2.5)(6.5,1)(1.5,1.5)(2,5.5)(5,1)(4,5)(6,4.5);Pause
2;7;2;50;24;79;0,0,0,0,0,0,0;0;0;1,0,0,1,1,1,0;73;156;False;(7,2)(6.5,4)(2,1.5)(5,5)(1,3)(2.5,5)(1,5);Pause
2;8;2;50;36;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(1,2.5)(7,2)(1.5,5)(4.5,1)(5,5)(2.5,1.5)(6.5,4);Pause
2;9;2;50;29;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(2,3.5)(1,1.5)(6.5,4.5)(6.5,2)(3,1)(2.5,5)(5,1);Pause
2;10;2;50;18;67;0,0,0,0,0,0,0;0;0;0,1,0,1,1,0,1;67;144;False;(1.5,2.5)(7,3)(2,4.5)(6.5,1)(3,1)(7,5)(5.5,5);Pause
