PartcipantID:ddd
InitialTimeStamp:16-59-01-291
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;107
1;1;11;147
1;1;21;970
1;1;3;1001
1;2;1;5099
1;2;11;5138
1;2;21;5654
1;2;3;5675
1;3;1;20737
1;3;11;20774
1;3;21;21991
1;3;3;22010
1;4;1;26102
1;4;11;26140
1;4;21;27358
1;4;3;27377
1;5;1;31472
1;5;11;31511
1;5;21;32657
1;5;3;32688
1;6;1;36757
1;6;11;36795
1;6;21;38459
1;6;3;38478
1;7;1;42582
1;7;11;42621
1;7;21;43537
1;7;3;43567
1;8;1;47636
1;8;11;47676
1;8;21;48630
1;8;3;48660
1;9;1;52729
1;9;11;52769
1;9;21;53817
1;9;3;53848
1;10;1;57921
1;10;11;57961
1;10;21;58845
1;10;3;58876
1;11;1;62978
1;11;11;63019
1;11;21;63962
1;11;3;63982
1;12;1;68077
1;12;11;68116
1;12;21;69210
1;12;3;69230
2;0;4;73362
2;1;1;78356
2;1;11;78398
