PartcipantID:ddd
block;trial;submitted;timeSpent;instanceNumber;capacity;itemsSelected;capacitySel;profitSel;itemsOpt;capacityOpt;profitOpt;correct;xyCoordinates;error
1;1;1;0.7415161;20;84;0,0,0,0,0,0,0;0;0;1,1,1,0,0,1,0;76;99;False;(1.5,2.5)(7.5,3.5)(5.5,6)(0,4.5)(8,0.5)(2,0.5)(2,5);
1;2;1;0.5022163;17;55;0,0,0,0,0,0,0;0;0;1,1,0,0,1,1,0;40;103;False;(7,5)(0,6)(6,1.5)(1,1)(4,6)(8,1.5)(3,0.5);
1;3;1;1.177486;2;79;0,0,0,0,0,0,0;0;0;0,1,0,1,1,1,0;79;112;False;(4.5,6)(6.5,1.5)(1.5,1.5)(6.5,5.5)(0.5,6)(8,3.5)(1,4);
1;4;1;1.168282;15;76;0,0,0,0,0,0,0;0;0;1,0,1,1,0,1,0;66;120;False;(3,6)(4.5,1)(7.5,0)(2,1)(6.5,4)(6,6)(0,2.5);
1;5;1;1.105701;23;81;0,0,0,0,0,0,0;0;0;0,1,0,0,1,1,1;78;141;False;(7.5,4.5)(8,2.5)(0.5,0.5)(7,0.5)(1.5,2.5)(4.5,6)(2.5,5.5);
1;6;1;1.618244;8;75;0,0,0,0,0,0,0;0;0;1,0,1,0,1,1,0;73;94;False;(2.5,5.5)(7.5,0.5)(0,4)(6.5,5.5)(0,1)(7.5,2.5)(5.5,0.5);
1;7;1;0.8866158;28;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(0,3.5)(8,1.5)(0.5,1)(7,5.5)(5.5,0.5)(2.5,6)(2.5,0.5);
1;8;1;0.9113655;26;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(1,3.5)(7,5.5)(0.5,1.5)(5,0)(4,5.5)(8.5,1)(1,5.5);
1;9;1;1.008377;1;77;0,0,0,0,0,0,0;0;0;1,0,0,0,1,1,1;72;112;False;(5.5,1)(3,1)(1.5,5)(1,2.5)(4,6)(8,4.5)(6,5);
1;10;1;0.8473625;27;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(4.5,6)(1.5,3)(0,6)(6.5,6)(8,2.5)(8.5,4.5)(6.5,1.5);
1;11;1;0.8794823;35;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;False;(7.5,0.5)(6.5,3)(1.5,1)(3.5,0.5)(7,5.5)(-0.5,2.5)(1,5.5);
1;12;1;1.055557;7;79;0,0,0,0,0,0,0;0;0;0,1,0,1,1,1,0;79;112;False;(8,4)(0.5,5.5)(3,6)(4,0.5)(1.5,2)(6.5,2)(6.5,5);
2;0;2;50;7;79;0,0,0,0,0,0,0;0;0;0,1,0,1,1,1,0;79;112;False;(8,4)(0.5,5.5)(3,6)(4,0.5)(1.5,2)(6.5,2)(6.5,5);Pause
