PartcipantID:dsad
InitialTimeStamp:18-36-38-655
block;trial;item;In(1)/Out(0);time
1;2;6;1;3.158188
1;2;1;1;4.107079
1;2;2;1;5.382446
1;2;7;1;9.805965
1;2;5;1;11.03176
1;2;3;1;12.30673
1;2;4;1;13.18555
1;2;2;0;13.93108
1;2;4;0;15.00774
1;2;1;0;15.70274
1;2;6;0;16.23351
1;2;5;0;16.89626
1;2;7;0;17.49271
1;2;3;0;18.30363
1;2;7;1;19.0831
1;2;5;1;19.71265
1;2;6;1;20.34236
1;2;1;1;20.90561
1;2;2;1;21.6014
1;2;3;1;22.28058
1;2;4;1;22.86045
1;2;4;0;23.53888
1;2;4;1;24.11954
1;2;4;0;24.71585
1;2;2;0;25.32822
1;2;2;1;25.94188
1;2;2;0;26.60454
1;2;2;1;27.15081
1;2;2;0;27.81394
1;2;2;1;28.82446
1;2;2;0;29.33806
1;2;2;1;29.8508
1;2;2;0;30.54942
1;2;2;1;31.21207
1;2;2;0;32.20652
1;2;2;1;32.76925
1;2;2;0;33.64799
1;2;2;1;34.14508
