PartcipantID:dsdfdsdhjfs
InitialTimeStamp:19-37-10-706
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;154
1;1;11;192
1;2;1;4662
1;2;11;4699
1;2;21;13608
1;2;3;13692
1;3;1;17797
1;3;11;17835
1;4;1;28008
1;4;11;28045
1;5;1;28970
1;5;11;29007
1;6;1;29963
1;6;11;30000
1;7;1;30908
1;7;11;30946
1;8;1;31841
1;8;11;31879
1;9;1;32884
1;9;11;32921
1;10;1;35624
1;10;11;35661
1;11;1;36825
1;11;11;36863
1;12;1;38020
1;12;11;38057
2;0;4;39538
2;1;1;44639
2;1;11;44676
2;1;21;76709
2;1;3;76737
