PartcipantID:dsdfdsdhjfs
block;trial;submitted;timeSpent;instanceNumber;capacity;itemsSelected;capacitySel;profitSel;itemsOpt;capacityOpt;profitOpt;correct;xyCoordinates;error
1;1;2;50;20;84;0,0,0,0,0,0,0;0;0;1,1,1,0,0,1,0;76;99;0;(0.5,5.5)(2.5,6)(4.5,0.5)(7.5,0.5)(0.5,3)(2,0.5)(7.5,2.5);Pause
1;2;1;8.882595;17;55;0,0,0,0,0,1,0;16;24;1,1,0,0,1,1,0;40;103;0;(7.5,4)(2,6)(1,3.5)(3.5,1)(7,6)(5,5.5)(7,0.5);
1;3;2;50;2;79;0,0,0,0,0,0,0;0;0;0,1,0,1,1,1,0;79;112;0;(2,6)(8.5,0.5)(0.5,1)(6.5,6)(3.5,0)(7,2.5)(6.5,0.5);Pause
1;4;2;50;15;76;0,0,0,0,0,0,0;0;0;1,0,1,1,0,1,0;66;120;0;(1.5,6)(0,5)(0.5,2.5)(8,5)(5.5,0.5)(8,3)(3,1);Pause
1;5;2;50;23;81;0,0,0,0,0,0,0;0;0;0,1,0,0,1,1,1;78;141;0;(0,3.5)(1,0.5)(6,0.5)(7.5,3)(5,5.5)(1.5,4.5)(7,6);Pause
1;6;2;50;8;75;0,0,0,0,0,0,0;0;0;1,0,1,0,1,1,0;73;94;0;(7,4)(3,0.5)(7,0.5)(0.5,5.5)(1,0.5)(2.5,5.5)(7,6);Pause
1;7;2;50;28;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;0;(0.5,4.5)(6.5,6)(6,0.5)(7.5,3.5)(1,0.5)(3,6)(3,1);Pause
1;8;2;50;26;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;0;(8,5.5)(0.5,3.5)(1,0.5)(0,6)(7.5,1)(4.5,6)(7,3);Pause
1;9;2;50;1;77;0,0,0,0,0,0,0;0;0;1,0,0,0,1,1,1;72;112;0;(8,5.5)(-0.5,1.5)(6,5)(1,6)(0.5,3.5)(7.5,0)(4.5,0.5);Pause
1;10;2;50;27;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;0;(1.5,4.5)(6.5,4.5)(6.5,0.5)(2,0)(0,1)(-0.5,3.5)(7,2.5);Pause
1;11;2;50;35;101;0,0,0,0,0,0,0;0;0;1,1,0,1,1,0,0;98;132;0;(8,5)(1.5,5.5)(6.5,2)(6,5.5)(0,1.5)(4.5,0.5)(4,6);Pause
1;12;2;50;7;79;0,0,0,0,0,0,0;0;0;0,1,0,1,1,1,0;79;112;0;(2,0.5)(6,1)(0.5,6)(4,0.5)(7.5,4)(8,0.5)(3,6);Pause
2;1;1;32.00505;3;63;1,1,1,1,1,1,1;145;93;0,0,1,1,1,1,0;61;73;0;(8.5,5)(2,6)(7.5,1.5)(1.5,2)(6.5,4)(0,3.5)(5,1);
